Gene.symbol,logFC
gnsB,3.7
sulA,2.54
recN,2.16
c4435,2.14
dinI,2.11
c2757,2.08
c1431,2.05
gabP,2
recA,1.91
ECs5456,1.91
speB,1.91
gnd,1.9
yebG,1.89
c1464,1.86
Z2071,1.81
pta,1.79
narK,1.79
yigN,1.73
yfcB,1.72
dinG,1.71
ECs2230,1.7
nrdA,1.67
Z5883,1.67
fabF,1.65
yebF,1.6
hypE,1.6
sbmC,1.59
c2484,1.57
sdaC,1.56
uvrB,1.55
napD,1.54
ECs2526,1.54
ECs2890,1.53
tdcC,1.52
umuD,1.51
sdhA,1.5
rpsU,1.49
ygaM,1.49
ruvA,1.48
psrD,1.46
yeeA,1.46
ECs0818,1.46
rfbB,1.44
Z4316,1.43
acnB,1.43
Z1785,1.43
prsA,1.42
rimM,1.42
c4578,1.42
c4090,1.4
ycfC,1.4
moeA,1.39
fabH,1.39
pepN,1.39
yfeX,1.39
gatZ,1.38
Z0341,1.37
yfbB,1.37
c5455,1.36
Z1655,1.35
focA_2,1.35
c4069,1.34
glmY,1.34
nikA,1.34
rpsP,1.34
lolB,1.34
ECs3003,1.34
yecH,1.33
c1602,1.33
yceD,1.32
rfbD,1.32
accD,1.31
nrdB,1.31
rplT,1.31
Z1887,1.31
napF,1.3
c0864,1.3
yeeN,1.3
hypD,1.3
yeaE,1.3
Z1370,1.3
nuoF,1.3
glnP,1.29
sdaB,1.29
tyrS,1.28
ydjQ,1.28
c4084,1.28
pepP,1.28
yacK,1.28
c2047,1.28
mnmA,1.27
plsX,1.27
c1465,1.27
bioD,1.26
c5221,1.26
agp,1.26
c2839,1.25
yfcE,1.24
hemA,1.24
hslV,1.24
nikC,1.24
Z5331,1.24
ybjN,1.23
purB,1.23
tsx,1.23
c1040,1.23
c4088,1.22
thrS,1.22
rfbC,1.21
ycfF,1.21
maeB,1.21
tdh,1.21
Z1373,1.21
mltD,1.21
yceO,1.21
ECs1593,1.21
Z3101,1.2
nupC,1.2
nfo,1.2
ygaW,1.2
Z2789,1.2
yoaA,1.2
c4519,1.2
c3654,1.2
ydhD,1.19
Z4325,1.19
btuB,1.19
Z1365,1.19
c4067,1.18
ntpA,1.18
appY,1.18
uxuB,1.18
Z4184,1.18
ybaM,1.17
dfrA1,1.17
asnC,1.16
Z0953,1.16
c4086,1.16
rhaA,1.16
dcp,1.15
c3818,1.15
c0018,1.15
nuoG,1.15
hypC,1.15
c3139,1.14
c3668,1.14
yjjW,1.14
argS,1.14
wbbJ,1.13
yeaF,1.13
ackA,1.13
wzxB,1.13
c0426,1.13
hrpB,1.12
bglA,1.12
ispA,1.12
Z6035,1.12
c1513,1.12
Z4313,1.12
Z2042,1.12
yqgB,1.11
hrpA,1.11
tig,1.11
fis,1.11
htpG,1.11
c4081,1.11
trmD,1.11
c1883,1.11
ECs1173,1.11
uidR,1.1
wbbI,1.1
prfB,1.1
topB,1.1
prmB,1.1
yeaZ,1.1
Z1428,1.1
c4310,1.1
c1516,1.1
Z3938,1.1
ybiB,1.1
c3596,1.1
Z3074,1.1
polB,1.09
rpiR,1.09
glf,1.09
ECs2971,1.09
mrcB,1.09
Z0979,1.09
prc,1.08
recR,1.08
pspD,1.08
c1267,1.08
ompC,1.08
ydiU,1.07
mukF,1.07
dnaX,1.07
gyrA,1.07
fabG,1.07
c4115,1.07
c4015,1.07
c2455,1.07
Z3289,1.07
ycfQ,1.07
rnt,1.07
ndh,1.06
aroC,1.06
ECs1125,1.06
c4977,1.06
gabT,1.06
moeB,1.06
grpE,1.05
ribA,1.05
ECs1375,1.05
mepA,1.05
ychS,1.05
fldA,1.04
infA,1.04
potG,1.04
prfA,1.04
c1234,1.04
fabI,1.04
ybiK,1.04
uxuA,1.04
ftsK,1.04
c2535,1.04
Z5027,1.04
Z2393,1.04
moaA,1.03
yoaB,1.03
pbpG,1.03
c4064,1.03
c2225,1.03
fumC,1.03
c0797,1.03
zwf,1.03
c3545,1.03
mutL,1.03
metG,1.03
greA,1.02
trxB,1.02
menD,1.02
purR,1.02
yedD,1.02
Z2972,1.02
gapC,1.02
pheS,1.02
rimK,1.02
ghoT,1.02
pepD,1.02
Z6064,1.02
fabD,1.02
ECs4958,1.02
c2510,1.02
c2525,1.02
ybbN,1.01
slyA,1.01
c4780,1.01
c1418,1.01
ycfL,1.01
c2723,1.01
fdnG,1.01
priC,1.01
c0260,1.01
pdxH,1
nusB,1
rpmF,1
yfcA,1
ymfE,1
c2964,1
sdaA,0.995
deaD,0.995
gatD,0.995
galE,0.995
rpmI,0.995
ECs5531,0.995
ipk,0.99
dinP,0.99
dnaJ,0.99
cspA,0.99
yehD,0.99
kpsE,0.99
c3339,0.99
lolA,0.985
yleA,0.985
truA,0.985
waaD,0.985
napG,0.985
ECs0272,0.985
c4576,0.985
cysM,0.985
mltB,0.985
groES,0.98
rpmA,0.98
rsuA,0.98
pspE,0.98
ybdQ,0.98
Z6071,0.98
valS,0.98
dppD,0.98
Z2122,0.98
ydbJ,0.975
glyA,0.975
glnS,0.975
c0291,0.975
c0133,0.975
smtA,0.97
c4894,0.97
rpsI,0.97
ECs5426,0.97
ydhC,0.97
xthA,0.97
Z5139,0.97
menC,0.97
proQ,0.965
aspS,0.965
folD,0.96
usg,0.96
c4113,0.96
Z1543,0.96
c2398,0.96
rplM,0.955
ECs1234,0.955
ECs1528,0.955
Z2257,0.955
ECs1320,0.955
c4521,0.955
cutC,0.95
ychF,0.95
ECs2200,0.95
c4571,0.95
c1201,0.95
deoD,0.95
cysU,0.95
ECs2765,0.95
fabA,0.945
ychA,0.945
secA,0.945
nlpB,0.945
c1220,0.945
udk,0.94
ispD,0.94
c2885,0.94
yjdK,0.94
c2207,0.94
c1185,0.94
tmk,0.935
c1094,0.935
pdxB,0.93
ruvB,0.93
ffh,0.93
fucI,0.93
lexA,0.93
hypF,0.93
Z5339,0.93
ECs2758,0.93
c3575,0.93
Z4802,0.93
ECs1962,0.93
c3363,0.925
papX,0.925
c0778,0.925
rpsJ,0.925
dedA,0.92
ybfE,0.92
Z5488,0.92
nikD,0.92
ECs1588,0.92
mreB,0.915
umuC,0.915
lysS,0.915
yfbV,0.915
cmk,0.915
bglX,0.915
yajC,0.91
c0272,0.91
yfcD,0.905
pspA,0.905
ccmA,0.905
panB,0.905
manA,0.905
Z3081,0.905
c2442,0.9
Z6062,0.9
xseB,0.895
c1112,0.895
c2020,0.895
mrp,0.895
narH,0.895
hscA,0.89
hflX,0.89
ycaJ,0.89
ycaO,0.885
mdoG,0.885
c4059,0.885
c1514,0.885
yccM,0.885
Z1447,0.885
Z1602,0.885
glnQ,0.88
yebK,0.88
dppC,0.88
hscB,0.88
ybiS,0.88
c0325,0.88
ydiD,0.88
ECs3783,0.88
Z0974,0.88
ECs4970,0.88
Z3342,0.88
trpH,0.875
narL,0.875
ppsA,0.875
Z3719,0.875
Z2357,0.875
ECs5415,0.87
gltX,0.87
kdsA,0.87
pgsA,0.87
mlc,0.865
rpsT,0.865
nrdR,0.865
dacA,0.865
ydaL,0.865
ldhA,0.865
rfbA,0.865
dnaA,0.865
pheP,0.865
ycjX,0.865
Z1640,0.865
Z1914,0.865
holC,0.86
wbbK,0.86
purU,0.86
sodC,0.86
Z4405,0.86
c0973,0.86
osmC,0.86
mdaA,0.855
rlpB,0.855
yfhO,0.855
c4078,0.855
ybeD,0.855
yhiV,0.855
ECs3509,0.85
ECs5364,0.85
pheT,0.85
yfaE,0.85
rpmC,0.85
ygaD,0.85
c0552,0.85
rplD,0.85
napH,0.85
dnaK,0.85
Z1554,0.85
Z2969,0.85
Z2542,0.85
intT,0.85
c3616,0.85
Z4330,0.85
c1363,0.85
ECs4536,0.85
c3581,0.85
lepA,0.845
ydjE,0.845
c3819,0.845
c1594,0.845
c1091,0.845
yacA,0.845
marR,0.845
rpmH,0.845
ECs2772,0.845
c5384,0.845
Z0388,0.845
obgE,0.84
rpoH,0.84
Z0248,0.84
yfgB,0.84
rplI,0.84
ybhE,0.84
sms,0.84
dapA,0.84
ydbL,0.84
c5161,0.84
Z1628,0.84
hybD,0.84
yncB,0.835
yqiA,0.835
c1959,0.835
c1462,0.835
Z4065,0.835
c3401,0.835
c1572,0.835
pepE,0.83
ruvC,0.83
Z0990,0.83
seqA,0.83
ycdZ,0.83
c3054,0.83
pncB,0.83
yjgB,0.83
c5147,0.83
c4985,0.83
livG,0.83
c0254,0.83
adk,0.825
c3055,0.825
parE,0.825
ybbB,0.825
malX,0.825
c5171,0.825
Z2057,0.825
c2985,0.825
waaY,0.825
c3685,0.82
recJ,0.82
tehB,0.82
pdxY,0.82
ribD,0.82
paaX,0.82
nudF,0.82
macB,0.82
fhlA,0.82
sohB,0.82
ydfM,0.82
menE,0.82
c3653,0.82
ECs5400,0.82
Z6041,0.82
c0391,0.82
Z1629m,0.82
yfhP,0.815
rpsO,0.815
moaE,0.815
glnH,0.815
eda,0.815
cydD,0.815
yjjI,0.815
Z1625,0.815
c1524,0.815
kdtA,0.815
yciO,0.81
rrmJ,0.81
ybgF,0.81
c3770,0.81
c0897,0.81
ECs3854,0.81
yciS,0.81
ECs1569,0.81
yqaA,0.805
yciL,0.805
tolR,0.805
secD,0.805
ydiH,0.805
yrfH,0.805
ydfG,0.805
Z3098,0.805
wzzB,0.805
rplQ,0.805
ECs2202,0.805
c2439,0.805
c0288,0.805
Z5138,0.805
Z3311,0.805
ECs1575,0.805
yicI,0.805
lpxD,0.8
c3487,0.8
pflA,0.8
yfhQ,0.8
ycfM,0.8
rnhB,0.8
yjcX,0.8
rnfD,0.8
gloA,0.8
Z4883,0.8
ECs4946,0.8
yiiE,0.8
dcd,0.795
ccmD,0.795
dsbB,0.795
ubiF,0.795
c0307,0.795
yccV,0.795
osmB,0.795
c1601,0.795
ygiA,0.795
c3162,0.795
c1541,0.79
hemL,0.79
pspC,0.79
ogrK,0.79
c2021,0.79
yohI,0.79
Z2086,0.79
Z0321,0.79
ydgH,0.79
c0807,0.79
oppB,0.785
c1650,0.785
wbdN,0.785
c3786,0.785
c1266,0.785
fadL,0.78
pitA,0.78
wbbH,0.78
ydbK,0.78
ybeZ,0.78
Z5102,0.78
napA,0.78
Z5128,0.78
c3632,0.775
tatE,0.775
chuT,0.775
c2521,0.775
ECs4956,0.775
secE,0.775
ydhF,0.775
c5166,0.775
ECs1585,0.775
Z0966,0.775
cysP,0.775
c3205,0.775
c4532,0.775
rplB,0.77
c4542,0.77
c5216,0.77
yibN,0.765
ydgJ,0.765
ECs0240,0.765
ymfD,0.765
rnpA,0.765
c1980,0.765
rpsK,0.765
hisB,0.765
c3702,0.765
c4486,0.765
c1486,0.765
ECs5413,0.765
yjeS,0.765
Z0402,0.765
nadR,0.765
Z1636,0.765
Z2385,0.765
ksgA,0.76
slyD,0.76
marA,0.76
c0590,0.76
Z5114,0.76
ECs2983,0.76
add,0.755
ybaB,0.755
ECs2995,0.755
c4738,0.755
ECs5374,0.755
rseB,0.755
Z5118,0.755
c1695,0.755
c1249,0.755
c0396,0.755
tnaB,0.755
Z1576,0.755
yeiI,0.755
c4222,0.755
Z1088,0.755
c4561,0.755
Z1808,0.755
yjiK,0.755
Z3123,0.755
paaY,0.75
yigU,0.75
yejK,0.75
cdd,0.75
fucK,0.75
ptsG,0.75
ECs1312,0.75
ybeX,0.75
cysS,0.75
Z6042,0.75
c1939,0.75
c3158,0.75
Z0251,0.75
ECs1167,0.75
fumA,0.75
ECs2182,0.75
c4525,0.75
Z2384,0.75
atpE,0.745
ycdX,0.745
c0205,0.745
ydfH,0.745
Z1609,0.745
c0397,0.745
pepT,0.745
Z2259,0.745
c3336,0.745
Z3621,0.745
mdaB,0.74
guaA,0.74
mltA,0.74
yciT,0.74
c1518,0.74
yigL,0.74
c1891,0.74
nadE,0.74
uvrA,0.74
c2114,0.74
c5198,0.74
papE,0.74
yiiF,0.74
xerC,0.74
ybiT,0.735
anmK,0.735
dsbC,0.735
pspB,0.735
fabZ,0.735
rpsB,0.735
ynaI,0.735
bcr,0.735
rplC,0.735
galT,0.735
pykA,0.735
rydB,0.735
Z3943,0.735
Z1774,0.735
intP_1,0.735
ECs1983,0.735
c0956,0.735
Z1490,0.735
apt,0.73
pgm,0.73
ydgK,0.73
ECs2196,0.73
mukE,0.73
c5060,0.73
ppiB,0.73
Z1290,0.73
Z2337,0.73
kdpD,0.73
c1549,0.73
c2564,0.73
Z3118,0.73
ybcM,0.725
c0823,0.725
ygfX,0.725
cysK,0.725
atpF,0.725
c2837,0.725
apaG,0.725
Z3620,0.725
ECs1357,0.725
c2458,0.725
c1458,0.725
ybfA,0.725
hlyC,0.725
c4540,0.725
c3577,0.725
hepA,0.725
c5477,0.72
dsrB,0.72
topA,0.72
spy,0.72
pyrL,0.72
c1470,0.72
Z3372,0.72
nusG,0.72
ydhQ,0.72
yehT,0.72
atpH,0.72
Z1530,0.72
chuX,0.72
renP,0.72
mrcA,0.72
Z2395,0.72
yrbK,0.715
thiK,0.715
pfs,0.715
ycbL,0.715
pyrH,0.715
tolQ,0.715
paaJ,0.715
glpK,0.715
c0429,0.715
Z2338,0.715
ileS,0.715
c3242,0.715
c3189,0.715
pphB,0.715
Z1339,0.715
prfH,0.715
potF,0.715
yegD,0.715
tgt,0.71
ribF,0.71
yigP,0.71
nuoM,0.71
htpX,0.71
cvpA,0.71
ycjG,0.71
c4541,0.71
nmpC,0.71
rpsN,0.71
Z5903,0.71
kdpB,0.71
Z5881,0.71
Z0328,0.71
c1812,0.71
Z0977,0.71
ulaA,0.71
tppB,0.705
ycfU,0.705
dedD,0.705
proS,0.705
Z1323,0.705
dppB,0.705
yeaK,0.705
ycdC,0.705
ycbC,0.705
glpT,0.705
sucC,0.705
ECs4966,0.705
yebA,0.7
ybgK,0.7
dicA,0.7
tktB,0.7
ydjN,0.7
yehU,0.7
ribE,0.7
Z2152,0.7
fhuF,0.7
Z0521,0.7
Z1817,0.7
c2383,0.7
c1188,0.7
papD_2,0.7
focC,0.7
c1544,0.7
c0298,0.695
c1233,0.695
hypB,0.695
hslO,0.695
sucD,0.695
ECs0849,0.695
Z4882,0.695
sucA,0.695
yeiP,0.69
rnc,0.69
Z4069,0.69
rplS,0.69
ECs2198,0.69
c5357,0.69
nikB,0.69
Z5474,0.69
Z6075,0.69
gldA,0.69
c3395,0.69
Z3122,0.69
ECs5419,0.69
yajG,0.685
rlmL,0.685
rnk,0.685
c0137,0.685
rpsM,0.685
Z1772,0.685
c1205,0.685
c1206,0.685
yfcP,0.685
Z2097,0.685
ECs1538,0.685
Z6034,0.685
recX,0.68
c0820,0.68
yddW,0.68
c4786,0.68
ydaO,0.68
yehE,0.68
ynfD,0.68
ydhO,0.68
yebC,0.68
ECs2239,0.68
Z5223,0.68
c1423,0.68
Z1478,0.68
yjbG,0.675
ymfJ,0.675
zipA,0.675
speA,0.675
priB,0.675
ybhB,0.675
secG,0.675
znuA,0.675
ggt,0.675
nemA,0.675
c3338,0.675
lacZ,0.675
gltA,0.675
serC,0.675
ygjR,0.675
yggX,0.675
c3144,0.675
c1505,0.675
c3645,0.675
yggV,0.675
ECs4538,0.675
c5173,0.675
c1141,0.675
c3159,0.675
Z4403,0.67
tolA,0.67
c0813,0.67
Z5200,0.67
ybeB,0.67
Z1647,0.67
c3560,0.67
ECs3718,0.67
aceK,0.67
Z1346,0.67
rplU,0.665
flhD,0.665
Z1855,0.665
mdoH,0.665
fnr,0.665
ylbA,0.665
fadD,0.665
yfgM,0.665
c0284,0.665
Z0722,0.665
yedE,0.665
Z3917,0.665
c0163,0.665
Z6039,0.665
Z1386,0.665
Z1635,0.665
sgbE,0.665
malY,0.66
c1671,0.66
yccA,0.66
yfgL,0.66
ybgC,0.66
lpxA,0.66
ybeY,0.66
ychJ,0.66
rfaY,0.66
c3600,0.66
groEL,0.66
Z1642,0.66
c1413,0.66
c1207,0.66
c1453,0.66
rpsS,0.655
ynfI,0.655
Z3262,0.655
Z5131,0.655
slpA,0.655
holD,0.655
c2972,0.655
yehS,0.655
ECs1332,0.655
yebE,0.655
c1500,0.655
c1428,0.655
yihM,0.655
Z1541,0.655
yfiQ,0.655
c3292,0.655
Z0973,0.655
c3180,0.655
yniB,0.65
yfeH,0.65
pyrG,0.65
Z0245,0.65
yggU,0.65
yjjK,0.65
hflB,0.65
purA,0.65
sfcA,0.65
napC,0.65
fes,0.65
c3030,0.65
narZ,0.65
yfaQ,0.65
c1452,0.65
c0955,0.65
c2407,0.645
kdsB,0.645
potA,0.645
araC,0.645
c3343,0.645
hemK,0.645
relE,0.645
murQ,0.645
c2471,0.645
rttR,0.645
c5039,0.645
Z2992,0.645
Z5009,0.645
Z1773,0.645
rpsF,0.64
rplV,0.64
ftsB,0.64
ada,0.64
relB,0.64
galU,0.64
ftsY,0.64
yciN,0.64
folC,0.64
yqgA,0.64
c0410,0.64
c3173,0.64
clpB,0.64
ppk,0.64
spoT,0.64
yadC,0.64
mglB,0.64
Z4789,0.64
ECs2976,0.64
Z2311,0.635
yhbC,0.635
rpmG,0.635
ybgJ,0.635
modA,0.635
c0949,0.635
nuoB,0.635
yhaO,0.635
c2019,0.635
phoA,0.635
Z3359,0.635
c0963,0.635
afuA,0.635
betB,0.635
c1493,0.635
c4849,0.635
glmS,0.635
c3696,0.635
ECs5438,0.635
yrbA,0.63
yneI,0.63
ybjU,0.63
selD,0.63
Z1383,0.63
c0693,0.63
Z0982,0.63
Z1619,0.63
nrdD,0.63
c3651,0.63
Z0461,0.63
c1089,0.63
c2406,0.63
ECs5479,0.63
Z1626,0.63
yadN,0.63
Z1876,0.63
ECs4996,0.625
infC,0.625
rnd,0.625
c3755,0.625
yhbG,0.625
rdlA,0.625
intC,0.625
uidA,0.625
yacL,0.625
dnaG,0.62
yoeB,0.62
galF,0.62
atoC,0.62
rpiA,0.62
wbbL,0.62
fdnH,0.62
c0328,0.62
ECs5441,0.62
accA,0.62
menB,0.62
ECs2190,0.62
narG,0.62
stx2A,0.62
pcnB,0.62
clpX,0.62
Z1484,0.62
phrB,0.62
visC,0.615
Z5117,0.615
ECs2270,0.615
Z5213,0.615
ygfB,0.615
Z3271,0.615
c5059,0.615
modF,0.615
Z6047,0.615
yfcS,0.615
c2561,0.615
elaA,0.615
Z1219,0.615
c1463,0.615
gshB,0.615
proB,0.61
msbA,0.61
fdnI,0.61
rpmB,0.61
c2241,0.61
ubiG,0.61
Z2994,0.61
mfd,0.61
gtrB,0.61
Z5137,0.61
yeaY,0.61
Z5091,0.61
c5225,0.61
c2158,0.61
ECs4943,0.61
c0335,0.61
ECs4993,0.61
rpsQ,0.61
upp,0.61
cysJ,0.61
ECs5549,0.61
c3163,0.61
c3203,0.61
ydiK,0.61
Z2040,0.61
Z1431,0.61
ECs0353,0.61
ibpB,0.61
ndk,0.61
Z2093,0.61
ECs4968,0.61
c0329,0.61
c0336,0.61
c0303,0.61
c2898,0.61
vacJ,0.605
ECs5584,0.605
murE,0.605
flhC,0.605
rplW,0.605
ECs5412,0.605
ispZ,0.605
rplP,0.605
wbdR,0.605
c5174,0.605
ydcA,0.605
Z6037,0.605
mukB,0.605
Z0899,0.605
c1890,0.605
hpt,0.6
yecM,0.6
c1051,0.6
modE,0.6
Z1784,0.6
c5434,0.6
chuY,0.6
c3678,0.6
torA,0.6
gadB,0.6
Z0967,0.6
leuB,0.6
ECs0811,0.6
c1288,0.6
pfkB,0.595
dinD,0.595
ccmC,0.595
pssA,0.595
hokC,0.595
rpsH,0.595
c1259,0.595
yqgE,0.595
c1436,0.595
yidC,0.595
c0809,0.595
Z1820,0.595
Z6020,0.595
Z3918,0.595
ECs4962,0.595
Z3085,0.595
Z3109,0.595
Z2041,0.595
c3167,0.595
Z2565,0.595
ECs4983,0.595
Z2096,0.595
ECs5406,0.59
ribH,0.59
Z2978,0.59
c1533,0.59
gmhA,0.59
nuoC,0.59
Z0502,0.59
c0915,0.59
c1279,0.59
oppC,0.59
Z1957,0.59
ybhT,0.59
ftsQ,0.59
c0324,0.59
c3692,0.59
c0341,0.59
c0441,0.59
Z0265,0.59
ECs5482,0.59
yjcR,0.59
Z6045,0.59
Z2077,0.59
c3104,0.59
ygcB,0.59
sbcB,0.585
trmB,0.585
rpmJ,0.585
ydjB,0.585
holB,0.585
ydhE,0.585
prfC,0.585
xerD,0.585
fdoG,0.585
ybgL,0.585
yfbT,0.585
c3657,0.585
ygcN,0.585
Z5226,0.585
c4300,0.585
c3514,0.585
narY,0.585
yadL,0.585
ompA,0.585
c0359,0.585
yidR,0.585
cdsA,0.58
glnB,0.58
ychN,0.58
rpsC,0.58
rpoA,0.58
secY,0.58
rnb,0.58
yciC,0.58
manC,0.58
Z3091,0.58
yeiM,0.58
c0315,0.58
c1419,0.58
ybbP,0.58
Z3058,0.575
acpD,0.575
rluC,0.575
c1539,0.575
lpxB,0.575
nuoA,0.575
c0951,0.575
ppx,0.575
yfgE,0.575
Z0331,0.575
cysH,0.575
ECs3489,0.575
cysA,0.575
yihS,0.575
gntP,0.575
c3629,0.575
c2496,0.575
tdcE,0.575
Z1770,0.575
yehP,0.575
Z1819,0.575
c3650,0.575
Z2390,0.575
lomP,0.575
ECs1067,0.575
nagZ,0.57
pyrF,0.57
hisH,0.57
yffH,0.57
yghB,0.57
ubiB,0.57
paaK,0.57
srmB,0.57
Z3931,0.57
yggJ,0.57
mogA,0.57
Z2391,0.57
emrR,0.57
ECs4964,0.57
paaI,0.57
ECs4981,0.57
yaeT,0.57
ECs2991,0.57
c1276,0.57
Z2291,0.57
xapA,0.57
mreC,0.57
Z0373,0.57
tdcD,0.57
Z6012,0.57
Z3128,0.57
ECs5376,0.57
Z0267,0.57
yfcV,0.57
kbl,0.565
murG,0.565
c1556,0.565
rpsD,0.565
yhdG,0.565
dam,0.565
c2236,0.565
Z3079,0.565
ycfJ,0.565
ycjC,0.565
Z1646,0.565
ydiJ,0.565
Z2045,0.565
Z4170,0.565
Z4876,0.565
gatC,0.565
c3398,0.565
c3594,0.565
ykgA,0.565
Z5123,0.56
aroK,0.56
c1776,0.56
c0808,0.56
Z2367,0.56
surE,0.56
c1693,0.56
nusA,0.56
icc,0.56
ybiW,0.56
Z1569,0.56
yegQ,0.56
guaB,0.56
sepZ,0.56
ECs0951,0.56
c2662,0.56
c2740,0.56
Z1597,0.56
c3337,0.56
Z2374,0.56
yciK,0.555
ccmE,0.555
ygiB,0.555
dinF,0.555
fdx,0.555
slmA,0.555
yggT,0.555
ymcD,0.555
lon,0.555
elaB,0.555
metL,0.555
ECs1166,0.555
leuS,0.555
Z0340,0.555
rpoD,0.555
ECs5457,0.555
ldcC,0.555
Z0986,0.555
c1766,0.555
c4528,0.555
Z0948,0.555
c4223,0.555
moaD,0.55
yjeR,0.55
proA,0.55
ybjC,0.55
glpX,0.55
uup,0.55
iscA,0.55
rpsA,0.55
murA,0.55
ydc,0.55
btuE,0.55
yfhM,0.55
wzy,0.55
rihA,0.55
fadA,0.55
trkG,0.55
stx1B,0.55
dnaN,0.55
paaD,0.55
recG,0.55
Z3919,0.55
Z2445,0.55
papD,0.55
Z4878,0.55
ygjQ,0.55
Z0257,0.55
c3663,0.55
thiL,0.545
cls,0.545
paaF,0.545
yeeI,0.545
yheF,0.545
hnr,0.545
yeeD,0.545
Z1485,0.545
dnaC,0.545
c3712,0.545
recC,0.545
Z5489,0.545
c2515,0.545
c4442,0.545
mdlA,0.545
c2727,0.545
yodC,0.545
ligA,0.545
c2401,0.545
ydfP,0.545
ygcQ,0.545
Z1779,0.545
yhiE,0.545
trmE,0.545
c4898,0.545
truB,0.54
ydhM,0.54
ygaH,0.54
artM,0.54
yfgA,0.54
c0279,0.54
btuC,0.54
Z3121,0.54
c4210,0.54
c5030,0.54
Z1475,0.54
ECs5593,0.54
yheJ,0.54
papI,0.54
mipB,0.54
ECs1941,0.54
fliC,0.54
c2560,0.54
ilvI,0.54
ygeT,0.54
yhaD,0.54
Z5079,0.54
yhgH,0.535
mhpD,0.535
yecS,0.535
c4594,0.535
yhbY,0.535
c3647,0.535
speG,0.535
lysP,0.535
c1457,0.535
Z2558,0.535
rpsG,0.535
c1525,0.535
c4074,0.535
yheS,0.535
Z4833,0.535
ECs1539,0.535
Z0961,0.535
ascB,0.535
napB,0.535
Z6067,0.535
degS,0.535
htrA,0.535
Z1548,0.535
c1183,0.535
c1456,0.535
Z3106,0.535
yliJ,0.53
map,0.53
c2400,0.53
tehA,0.53
chpA,0.53
c5036,0.53
yneH,0.53
Z1664,0.53
galM,0.53
artQ,0.53
yfhB,0.53
ECs5432,0.53
yfiF,0.53
Z3084,0.53
ibpA,0.53
c3787,0.53
ybeA,0.53
wbdO,0.53
c0258,0.53
ybhG,0.53
c5041,0.53
ECs4975,0.53
Z0960,0.53
c5205,0.53
speF,0.53
glmM,0.53
c2514,0.53
btuR,0.525
sspA,0.525
uvrC,0.525
Z3757,0.525
dnaT,0.525
era,0.525
c4282,0.525
dsdC,0.525
nrdF,0.525
rpsL,0.525
relA,0.525
c0934,0.525
yciX,0.525
glpQ,0.525
c5195,0.525
yqiC,0.525
cspC,0.525
Z3092,0.525
c1290,0.525
Z2240,0.525
ybhI,0.525
wbdP,0.525
Z0870,0.525
ureA,0.525
recD,0.525
wzxE,0.525
rpmE2,0.525
Z3099,0.525
ECs1596,0.525
Z5688,0.525
pth,0.52
ECs2281,0.52
c1186,0.52
c0340,0.52
ECs4988,0.52
yiaM,0.52
yliA,0.52
amiA,0.52
ECs1184,0.52
c1417,0.52
ybjL,0.52
ybdS,0.52
c3693,0.52
Z5692,0.52
narJ,0.52
malQ,0.52
c1936,0.52
sspB,0.515
Z3785,0.515
Z1786,0.515
yfiO,0.515
c1455,0.515
rplA,0.515
yaeS,0.515
c2623,0.515
